timestamp,load1,load5,load15,mem_available_kib,swap_free_kib,process_tree_count,process_tree_rss_mib,docker_running_count
2026-09-17T12:20:51.961036+00:00,3.17,3.41,3.70,62109854,0,1,2.37,2
2026-09-17T12:20:57.461495+00:00,7.64,4.34,4.00,60486342,0,198,3362.27,2
2026-09-17T12:21:03.201914+00:00,10.63,5.01,4.22,61101209,0,160,1261.29,2
2026-09-17T12:21:08.306244+00:00,11.46,5.28,4.31,61447736,0,54,1334.62,2
2026-09-17T12:21:13.607206+00:00,11.43,5.37,4.35,61744265,0,30,605.71,2
2026-09-17T12:21:18.798191+00:00,11.39,5.47,4.38,61681716,0,57,928.45,2
2026-09-17T12:21:23.932013+00:00,11.52,5.59,4.43,61824247,0,24,437.23,2
2026-09-17T12:21:29.054861+00:00,11.56,5.70,4.47,61665297,0,18,390.54,2
2026-09-17T12:21:34.315076+00:00,10.79,5.64,4.46,61948165,0,14,141.13,2
2026-09-17T12:21:39.481124+00:00,12.41,6.06,4.60,62041615,0,5,77.75,2
2026-09-17T12:21:44.656540+00:00,11.82,6.04,4.60,61909730,0,18,330.72,2
2026-09-17T12:21:49.823033+00:00,11.11,5.99,4.59,61994689,0,7,130.30,2
2026-09-17T12:21:54.897472+00:00,10.70,5.99,4.60,62019983,0,18,340.88,2
2026-09-17T12:21:59.959701+00:00,10.00,5.92,4.59,61909004,0,8,184.40,2
2026-09-17T12:22:05.071660+00:00,9.84,5.96,4.60,61969719,0,10,211.61,2
2026-09-17T12:22:10.215020+00:00,9.30,5.91,4.60,61919833,0,7,132.93,2
2026-09-17T12:22:15.300385+00:00,8.95,5.89,4.60,61980325,0,6,157.59,2
2026-09-17T12:22:20.438498+00:00,8.55,5.86,4.60,62019821,0,6,92.43,2
2026-09-17T12:22:25.580084+00:00,8.27,5.85,4.60,62040263,0,5,84.03,2
2026-09-17T12:22:30.745588+00:00,7.60,5.79,4.59,62048768,0,6,93.00,2
2026-09-17T12:22:35.886119+00:00,7.15,5.72,4.58,62043090,0,6,82.02,2
2026-09-17T12:22:41.075857+00:00,6.90,5.70,4.57,62052781,0,6,92.90,2
2026-09-17T12:22:46.224156+00:00,6.59,5.65,4.56,61967918,0,6,82.02,2
2026-09-17T12:22:51.353355+00:00,7.34,5.82,4.63,62036804,0,4,82.77,2
2026-09-17T12:22:56.485594+00:00,6.99,5.78,4.62,62044938,0,4,72.48,2
2026-09-17T12:23:01.626501+00:00,7.39,5.88,4.66,62028832,0,7,114.24,2
2026-09-17T12:23:06.769553+00:00,7.28,5.88,4.66,62043595,0,7,105.05,2
2026-09-17T12:23:11.928058+00:00,7.34,5.92,4.68,61960832,0,11,229.22,2
2026-09-17T12:23:17.071320+00:00,7.15,5.90,4.68,61829975,0,11,218.40,2
2026-09-17T12:23:22.237453+00:00,6.90,5.87,4.68,62074764,0,9,153.32,2
2026-09-17T12:23:27.375469+00:00,6.51,5.81,4.67,62075624,0,8,154.07,2
2026-09-17T12:23:32.437050+00:00,7.03,5.92,4.71,62058765,0,6,117.91,2
2026-09-17T12:23:37.577219+00:00,6.54,5.84,4.69,62007611,0,6,97.18,2
2026-09-17T12:23:42.694213+00:00,6.10,5.76,4.67,62010196,0,6,128.09,2
2026-09-17T12:23:47.863482+00:00,6.57,5.87,4.71,61972744,0,7,169.97,2
2026-09-17T12:23:52.999748+00:00,6.53,5.87,4.72,61879337,0,10,192.36,2
2026-09-17T12:23:58.117496+00:00,6.16,5.80,4.70,62011195,0,7,128.20,2
2026-09-17T12:24:03.273226+00:00,6.15,5.81,4.71,61970214,0,10,206.07,2
2026-09-17T12:24:08.334519+00:00,5.74,5.73,4.69,62049783,0,7,130.17,2
2026-09-17T12:24:13.484440+00:00,5.36,5.65,4.67,62068690,0,10,197.32,2
2026-09-17T12:24:18.573357+00:00,6.05,5.79,4.72,61941718,0,10,184.08,2
2026-09-17T12:24:23.720349+00:00,5.89,5.76,4.72,61767458,0,9,264.21,2
2026-09-17T12:24:28.836022+00:00,5.57,5.70,4.70,61799295,0,8,130.50,2
2026-09-17T12:24:33.984159+00:00,5.61,5.70,4.71,61976416,0,10,192.03,2
2026-09-17T12:24:39.138122+00:00,5.56,5.69,4.71,61974442,0,7,172.89,2
2026-09-17T12:24:44.277307+00:00,5.52,5.68,4.71,62035094,0,4,53.38,2
2026-09-17T12:24:49.457836+00:00,5.55,5.68,4.72,62066315,0,7,129.80,2
2026-09-17T12:24:54.623537+00:00,5.27,5.62,4.71,62088435,0,7,130.01,2
2026-09-17T12:24:59.752954+00:00,4.93,5.54,4.69,61997185,0,8,128.39,2
2026-09-17T12:25:04.893427+00:00,5.65,5.68,4.74,61953658,0,6,118.28,2
2026-09-17T12:25:10.009518+00:00,5.60,5.67,4.74,61970091,0,7,130.66,2
2026-09-17T12:25:15.151081+00:00,7.64,6.09,4.88,62034425,0,6,94.16,2
2026-09-17T12:25:20.297467+00:00,7.42,6.08,4.88,62005260,0,7,130.79,2
2026-09-17T12:25:25.465967+00:00,6.99,6.01,4.86,62007126,0,7,130.43,2
2026-09-17T12:25:30.561913+00:00,6.67,5.96,4.85,61890542,0,7,169.98,2
2026-09-17T12:25:35.732195+00:00,6.30,5.89,4.84,62056487,0,6,105.78,2
2026-09-17T12:25:40.893227+00:00,5.71,5.78,4.81,62063283,0,8,129.55,2
2026-09-17T12:25:45.976239+00:00,5.42,5.72,4.80,62013091,0,7,170.38,2
2026-09-17T12:25:51.124503+00:00,5.46,5.72,4.80,61973301,0,10,194.94,2
2026-09-17T12:25:56.232897+00:00,5.19,5.66,4.79,61971688,0,10,193.91,2
2026-09-17T12:26:01.377366+00:00,5.01,5.61,4.78,61966172,0,10,195.90,2
2026-09-17T12:26:06.460412+00:00,4.85,5.57,4.77,61822420,0,7,172.40,2
2026-09-17T12:26:11.602047+00:00,7.82,6.18,4.97,62034648,0,4,51.08,2
2026-09-17T12:26:16.750221+00:00,7.52,6.14,4.96,61971016,0,10,191.63,2
2026-09-17T12:26:21.898042+00:00,7.08,6.07,4.95,62052071,0,10,197.86,2
2026-09-17T12:26:27.046366+00:00,6.67,6.00,4.93,62059154,0,10,194.71,2
2026-09-17T12:26:32.180286+00:00,6.38,5.95,4.92,61974726,0,6,95.57,2
2026-09-17T12:26:37.273690+00:00,6.10,5.90,4.91,61985650,0,7,169.81,2
