timestamp,load1,load5,load15,mem_available_kib,swap_free_kib,validation_process_count,validation_tree_rss_mib,docker_running_count
2026-09-17T13:26:09.309142+00:00,6.31,4.68,4.78,61966845,0,1,2.06,2
2026-09-17T13:26:10.405118+00:00,6.31,4.68,4.78,61470349,0,27,813.66,2
2026-09-17T13:26:11.662186+00:00,7.81,5.01,4.89,60871357,0,75,2724.85,2
2026-09-17T13:26:12.847361+00:00,7.81,5.01,4.89,60681750,0,93,2744.66,2
2026-09-17T13:26:15.053213+00:00,7.81,5.01,4.89,60555978,0,133,2955.46,2
2026-09-17T13:26:16.256986+00:00,7.81,5.01,4.89,60615245,0,145,3030.08,2
2026-09-17T13:26:18.924009+00:00,11.03,5.73,5.12,60908709,0,39,1150.7,2
2026-09-17T13:26:21.916451+00:00,11.03,5.73,5.12,61432650,0,37,1130.48,2
2026-09-17T13:26:23.295231+00:00,11.91,6.00,5.21,61338126,0,44,1281.95,2
2026-09-17T13:26:24.418009+00:00,11.91,6.00,5.21,61519140,0,29,928.3,2
2026-09-17T13:26:25.564678+00:00,11.91,6.00,5.21,61554539,0,36,975.45,2
2026-09-17T13:26:27.109822+00:00,11.67,6.05,5.23,61726374,0,25,673.46,2
2026-09-17T13:26:28.447757+00:00,11.67,6.05,5.23,61793676,0,22,573.33,2
2026-09-17T13:26:29.586362+00:00,11.67,6.05,5.23,61813895,0,22,605.4,2
2026-09-17T13:26:30.679334+00:00,11.67,6.05,5.23,61898420,0,26,644.36,2
2026-09-17T13:26:31.818820+00:00,11.22,6.05,5.24,61949321,0,20,487.66,2
2026-09-17T13:26:33.139203+00:00,11.22,6.05,5.24,61902383,0,21,518.64,2
2026-09-17T13:26:34.281167+00:00,11.22,6.05,5.24,61922051,0,24,555.41,2
2026-09-17T13:26:35.449763+00:00,11.22,6.05,5.24,61767625,0,44,804.91,2
2026-09-17T13:26:36.540639+00:00,11.36,6.16,5.28,61822684,0,33,697.77,2
2026-09-17T13:26:37.653213+00:00,11.36,6.16,5.28,61949920,0,30,622.94,2
2026-09-17T13:26:38.752031+00:00,11.36,6.16,5.28,62046446,0,14,284.67,2
2026-09-17T13:26:39.869485+00:00,11.36,6.16,5.28,61975006,0,19,333.08,2
2026-09-17T13:26:41.038572+00:00,11.36,6.16,5.28,61955478,0,18,331.76,2
2026-09-17T13:26:42.128621+00:00,11.41,6.26,5.32,61853132,0,28,568.39,2
2026-09-17T13:26:43.205619+00:00,11.41,6.26,5.32,61794232,0,24,431.43,2
2026-09-17T13:26:44.303163+00:00,11.41,6.26,5.32,61874118,0,9,244.32,2
2026-09-17T13:26:45.431378+00:00,11.41,6.26,5.32,61907419,0,18,368.6,2
2026-09-17T13:26:46.571647+00:00,10.82,6.22,5.31,61965080,0,10,225.62,2
2026-09-17T13:26:47.722015+00:00,10.82,6.22,5.31,62031115,0,11,217.59,2
2026-09-17T13:26:48.860677+00:00,10.82,6.22,5.31,62049407,0,7,140.16,2
2026-09-17T13:26:49.999060+00:00,10.82,6.22,5.31,62047773,0,6,140.16,2
2026-09-17T13:26:51.206609+00:00,10.82,6.22,5.31,61903894,0,7,140.16,2
2026-09-17T13:26:52.459664+00:00,10.59,6.25,5.32,61850880,0,7,197.55,2
2026-09-17T13:26:54.454698+00:00,10.59,6.25,5.32,61423247,0,13,220.28,2
2026-09-17T13:26:55.603896+00:00,10.59,6.25,5.32,61984152,0,10,140.16,2
2026-09-17T13:26:56.771911+00:00,10.30,6.27,5.33,62041826,0,6,140.16,2
2026-09-17T13:26:57.915092+00:00,10.30,6.27,5.33,61952610,0,6,140.16,2
2026-09-17T13:26:59.058218+00:00,10.30,6.27,5.33,62011263,0,6,114.19,2
2026-09-17T13:27:00.169091+00:00,10.30,6.27,5.33,62052164,0,6,100.74,2
2026-09-17T13:27:01.273294+00:00,10.30,6.27,5.33,62063749,0,6,128.54,2
2026-09-17T13:27:02.445461+00:00,10.12,6.29,5.35,61998276,0,18,321.12,2
2026-09-17T13:27:03.543525+00:00,10.12,6.29,5.35,61892315,0,15,309.77,2
2026-09-17T13:27:04.625770+00:00,10.12,6.29,5.35,61925256,0,18,339.09,2
2026-09-17T13:27:05.771198+00:00,10.12,6.29,5.35,62015195,0,10,200.23,2
2026-09-17T13:27:06.918050+00:00,9.39,6.21,5.32,62044021,0,7,129.67,2
2026-09-17T13:27:08.067053+00:00,9.39,6.21,5.32,62047793,0,6,130.42,2
2026-09-17T13:27:09.230083+00:00,9.39,6.21,5.32,62060477,0,6,130.42,2
2026-09-17T13:27:10.422074+00:00,9.39,6.21,5.32,62075269,0,6,130.42,2
2026-09-17T13:27:11.522552+00:00,9.12,6.20,5.33,62105937,0,12,295.79,2
2026-09-17T13:27:12.658307+00:00,9.12,6.20,5.33,62032656,0,18,364.41,2
2026-09-17T13:27:13.842950+00:00,9.12,6.20,5.33,62064821,0,14,288.89,2
2026-09-17T13:27:14.994760+00:00,9.12,6.20,5.33,62076377,0,14,288.89,2
2026-09-17T13:27:16.136826+00:00,9.12,6.20,5.33,62047704,0,18,357.8,2
2026-09-17T13:27:17.317953+00:00,8.79,6.18,5.33,62140402,0,6,131.17,2
2026-09-17T13:27:18.471757+00:00,8.79,6.18,5.33,62094330,0,11,206.39,2
2026-09-17T13:27:19.619422+00:00,8.79,6.18,5.33,62122674,0,10,200.43,2
2026-09-17T13:27:20.763385+00:00,8.79,6.18,5.33,62123671,0,7,183.29,2
2026-09-17T13:27:21.884168+00:00,8.32,6.13,5.31,62072210,0,10,200.51,2
2026-09-17T13:27:23.000471+00:00,8.32,6.13,5.31,61937045,0,10,205.91,2
2026-09-17T13:27:24.122383+00:00,8.32,6.13,5.31,61975866,0,7,178.46,2
2026-09-17T13:27:25.236820+00:00,8.32,6.13,5.31,61957832,0,10,216.28,2
2026-09-17T13:27:26.401900+00:00,8.32,6.13,5.31,62050443,0,7,131.17,2
2026-09-17T13:27:27.539583+00:00,8.14,6.13,5.32,62029694,0,10,196.86,2
2026-09-17T13:27:28.706233+00:00,8.14,6.13,5.32,62016864,0,7,132.29,2
2026-09-17T13:27:29.849075+00:00,8.14,6.13,5.32,62025801,0,7,132.29,2
2026-09-17T13:27:30.997538+00:00,8.14,6.13,5.32,61987104,0,18,345.58,2
2026-09-17T13:27:32.144038+00:00,7.97,6.12,5.32,62096971,0,4,78.34,2
2026-09-17T13:27:33.283248+00:00,7.97,6.12,5.32,62021091,0,6,152.01,2
2026-09-17T13:27:34.432909+00:00,7.97,6.12,5.32,62009181,0,6,148.18,2
2026-09-17T13:27:35.560232+00:00,7.97,6.12,5.32,62019186,0,6,158.12,2
2026-09-17T13:27:36.702096+00:00,7.49,6.06,5.30,62092794,0,6,94.45,2
2026-09-17T13:27:37.846059+00:00,7.49,6.06,5.30,62086621,0,6,93.02,2
2026-09-17T13:27:38.988490+00:00,7.49,6.06,5.30,62087260,0,6,93.11,2
2026-09-17T13:27:40.156683+00:00,7.49,6.06,5.30,62108944,0,6,92.16,2
2026-09-17T13:27:41.325431+00:00,7.49,6.06,5.30,62109195,0,6,92.99,2
2026-09-17T13:27:42.417015+00:00,7.53,6.09,5.32,62096614,0,6,92.21,2
2026-09-17T13:27:43.562235+00:00,7.53,6.09,5.32,62096192,0,6,94.2,2
2026-09-17T13:27:44.730598+00:00,7.53,6.09,5.32,62104550,0,6,92.24,2
2026-09-17T13:27:45.919740+00:00,7.53,6.09,5.32,62107382,0,6,92.61,2
2026-09-17T13:27:47.091960+00:00,7.17,6.04,5.30,62106070,0,6,93.04,2
2026-09-17T13:27:48.286771+00:00,7.17,6.04,5.30,62101467,0,5,84.08,2
2026-09-17T13:27:49.431560+00:00,7.17,6.04,5.30,62107612,0,5,84.06,2
2026-09-17T13:27:50.571919+00:00,7.17,6.04,5.30,62118603,0,6,91.78,2
2026-09-17T13:27:51.704657+00:00,7.15,6.05,5.31,62116280,0,6,92.21,2
2026-09-17T13:27:52.903055+00:00,7.15,6.05,5.31,62087071,0,6,92.73,2
2026-09-17T13:27:54.077595+00:00,7.15,6.05,5.31,62052242,0,5,84.0,2
2026-09-17T13:27:55.224560+00:00,7.15,6.05,5.31,62096318,0,6,92.28,2
2026-09-17T13:27:56.389493+00:00,7.15,6.05,5.31,62193031,0,5,84.84,2
2026-09-17T13:27:57.531032+00:00,7.46,6.14,5.34,62214045,0,6,94.48,2
2026-09-17T13:27:58.685598+00:00,7.46,6.14,5.34,62199008,0,6,92.98,2
2026-09-17T13:27:59.840910+00:00,7.46,6.14,5.34,62202143,0,5,84.86,2
2026-09-17T13:28:00.969296+00:00,7.46,6.14,5.34,62190621,0,6,94.4,2
2026-09-17T13:28:02.082064+00:00,7.74,6.22,5.37,62150629,0,4,82.09,2
2026-09-17T13:28:03.249756+00:00,7.74,6.22,5.37,62154568,0,4,82.09,2
2026-09-17T13:28:04.405510+00:00,7.74,6.22,5.37,62183121,0,5,84.15,2
2026-09-17T13:28:05.551335+00:00,7.74,6.22,5.37,62200327,0,6,94.57,2
2026-09-17T13:28:06.680120+00:00,7.52,6.20,5.37,62200055,0,6,92.96,2
2026-09-17T13:28:07.827155+00:00,7.52,6.20,5.37,62154632,0,4,82.47,2
2026-09-17T13:28:08.981978+00:00,7.52,6.20,5.37,62118810,0,6,94.88,2
2026-09-17T13:28:10.095879+00:00,7.52,6.20,5.37,62091014,0,8,107.71,2
2026-09-17T13:28:11.286240+00:00,7.52,6.20,5.37,62117684,0,6,85.98,2
2026-09-17T13:28:12.425159+00:00,7.24,6.16,5.36,62120110,0,4,82.47,2
2026-09-17T13:28:13.517132+00:00,7.24,6.16,5.36,62103950,0,6,119.19,2
2026-09-17T13:28:14.653631+00:00,7.24,6.16,5.36,62087741,0,6,157.39,2
2026-09-17T13:28:15.834376+00:00,7.24,6.16,5.36,62139531,0,7,88.05,2
2026-09-17T13:28:16.975850+00:00,6.90,6.11,5.35,62130618,0,4,68.99,2
2026-09-17T13:28:18.122759+00:00,6.90,6.11,5.35,62066132,0,7,112.86,2
2026-09-17T13:28:19.188631+00:00,6.90,6.11,5.35,61813436,0,11,212.65,2
2026-09-17T13:28:20.335272+00:00,6.90,6.11,5.35,61833723,0,9,238.52,2
2026-09-17T13:28:21.478172+00:00,6.83,6.10,5.36,61995871,0,7,146.73,2
2026-09-17T13:28:22.624395+00:00,6.83,6.10,5.36,62096612,0,7,122.45,2
2026-09-17T13:28:23.732824+00:00,6.83,6.10,5.36,62041582,0,8,198.95,2
2026-09-17T13:28:24.876234+00:00,6.83,6.10,5.36,62031754,0,11,222.59,2
2026-09-17T13:28:26.022605+00:00,6.83,6.10,5.36,62110986,0,4,70.54,2
2026-09-17T13:28:27.162395+00:00,6.44,6.04,5.34,62093491,0,7,124.12,2
2026-09-17T13:28:28.229621+00:00,6.44,6.04,5.34,62067745,0,8,199.06,2
2026-09-17T13:28:29.370834+00:00,6.44,6.04,5.34,62052472,0,8,201.59,2
2026-09-17T13:28:30.504955+00:00,6.44,6.04,5.34,61973163,0,11,238.58,2
2026-09-17T13:28:31.596943+00:00,6.17,5.99,5.32,62001559,0,7,148.73,2
2026-09-17T13:28:32.705517+00:00,6.17,5.99,5.32,62020352,0,11,206.78,2
2026-09-17T13:28:33.860679+00:00,6.17,5.99,5.32,62045393,0,5,72.49,2
2026-09-17T13:28:35.011981+00:00,6.17,5.99,5.32,62097304,0,7,124.62,2
2026-09-17T13:28:36.130012+00:00,6.17,5.99,5.32,62081541,0,7,149.14,2
2026-09-17T13:28:37.275093+00:00,6.31,6.02,5.34,62065999,0,7,149.52,2
2026-09-17T13:28:38.435264+00:00,6.31,6.02,5.34,61899333,0,8,194.14,2
2026-09-17T13:28:39.576905+00:00,6.31,6.02,5.34,61832387,0,11,208.42,2
2026-09-17T13:28:40.720979+00:00,6.31,6.02,5.34,61967999,0,8,203.21,2
2026-09-17T13:28:41.868261+00:00,6.29,6.02,5.34,62061657,0,11,224.7,2
2026-09-17T13:28:43.010009+00:00,6.29,6.02,5.34,62090536,0,7,149.89,2
2026-09-17T13:28:44.162388+00:00,6.29,6.02,5.34,62091955,0,7,150.27,2
2026-09-17T13:28:45.242920+00:00,6.29,6.02,5.34,62138626,0,7,150.27,2
2026-09-17T13:28:46.381031+00:00,6.29,6.02,5.34,62140801,0,8,201.31,2
2026-09-17T13:28:47.514213+00:00,6.18,6.00,5.34,62155424,0,7,150.64,2
2026-09-17T13:28:48.651091+00:00,6.18,6.00,5.34,62154546,0,7,150.64,2
2026-09-17T13:28:49.792974+00:00,6.18,6.00,5.34,62213693,0,4,40.23,2
2026-09-17T13:28:50.941133+00:00,6.18,6.00,5.34,62232668,0,6,100.2,2
2026-09-17T13:28:52.003926+00:00,6.09,5.98,5.34,62181597,0,6,91.52,2
2026-09-17T13:28:53.065982+00:00,6.09,5.98,5.34,62140759,0,6,96.62,2
2026-09-17T13:28:54.136936+00:00,6.09,5.98,5.34,62078629,0,7,168.13,2
2026-09-17T13:28:55.282111+00:00,6.09,5.98,5.34,62086843,0,7,126.12,2
2026-09-17T13:28:56.410338+00:00,6.09,5.98,5.34,62121642,0,6,108.57,2
